Intervalo,Capacidad Memoria,Velocidad CPU,Num CPUs,Número de Procesos,Promedio Tiempo Ejecución,Desviación Estándar
10,100,3,1,25,2.743671682907858,1.552273351500151
10,100,3,1,50,3.114398903394973,2.1872841128126397
10,100,3,1,100,2.9527786586813467,2.1847359056305664
10,100,3,1,150,2.7165151384059825,1.7929524474628533
10,100,3,1,200,2.7765419887992393,1.6496971893196173
10,100,3,2,25,2.8,1.3266499161421599
10,100,3,2,50,2.3277024891213443,1.0728385124517048
10,100,3,2,100,2.6182021870749224,1.3260351898576443
10,100,3,2,150,2.618789309987766,1.4542547214429418
10,100,3,2,200,2.5256805187488793,1.3971973904635544
10,100,6,1,25,1.4263714213825565,0.5314009202576405
10,100,6,1,50,1.9959424960073868,1.2646059466031174
10,100,6,1,100,1.4525297222944058,0.6980397719271936
10,100,6,1,150,1.7140431877304825,0.9838606028805922
10,100,6,1,200,1.7940137411018853,1.2871911932764173
10,100,6,2,25,1.336889224902759,0.4954206679149917
10,100,6,2,50,1.4907814515267592,0.7116940738421239
10,100,6,2,100,1.4690931267225675,0.6075867140450647
10,100,6,2,150,1.4266666666666667,0.6961481323843527
10,100,6,2,200,1.4140236588621116,0.6739429530117395
10,200,3,1,25,3.1577471271105253,2.3697831461137358
10,200,3,1,50,3.714684329636073,2.603883355090228
10,200,3,1,100,2.7037054843834953,1.7637126431772405
10,200,3,1,150,3.2671157391039456,2.4881087067710426
10,200,3,1,200,3.039957667947062,2.1118403663543384
10,200,3,2,25,2.08,1.0552724766618335
10,200,3,2,50,2.6139917869179907,1.457675895670637
10,200,3,2,100,2.588991994965352,1.4955655873103753
10,200,3,2,150,2.5120632083699617,1.3046684138075741
10,200,3,2,200,2.4485470554124706,1.281726454239059
10,200,6,1,25,1.460887147702038,0.6989641965931387
10,200,6,1,50,1.4569711578505664,0.7263961982536605
10,200,6,1,100,1.6391213268429732,0.9140418987325579
10,200,6,1,150,1.667871947079252,1.094419164729688
10,200,6,1,200,1.6988610808800928,0.9758077875853277
10,200,6,2,25,1.64,0.8428523002282191
10,200,6,2,50,1.6,0.916515138991168
10,200,6,2,100,1.607812778387619,0.7759759809646449
10,200,6,2,150,1.4513780977548525,0.690541452630206
10,200,6,2,200,1.4695574002351923,0.6596673857602214
5,100,3,1,25,4.223268343639354,2.4832540740768563
5,100,3,1,50,3.46724148096545,2.332176459184241
5,100,3,1,100,6.729610595478723,5.617586088162422
5,100,3,1,150,3.992937528503391,2.634103660066572
5,100,3,1,200,3.4352611906169286,2.5054778184473108
5,100,3,2,25,1.68,0.8818163074019442
5,100,3,2,50,2.5838567649980577,1.6910449348447039
5,100,3,2,100,2.5516532568054893,1.5268080122520367
5,100,3,2,150,2.859128422906461,1.5694941032746945
5,100,3,2,200,2.3907669447537354,1.2976545333025957
5,100,6,1,25,2.3999874037574616,1.546926056735911
5,100,6,1,50,1.678039186315864,1.086546771150752
5,100,6,1,100,1.4801540151559305,0.5968897423306235
5,100,6,1,150,1.9059652042390955,1.2025135334429293
5,100,6,1,200,1.8477095462056312,1.0072645380323073
5,100,6,2,25,1.56,0.4963869458396343
5,100,6,2,50,1.42,0.6954135460285484
5,100,6,2,100,1.411971281217235,0.6484797773268607
5,100,6,2,150,1.4043898707890663,0.6694320120916234
5,100,6,2,200,1.567868932091028,0.8089327070888129
5,200,3,1,25,3.5547591382370882,2.0509621790310413
5,200,3,1,50,3.4170266910149563,2.240504351727914
